,-0.09460407885996294,128061
"M@[,ADXR20]P@[,CLOSINGMARUBOZU,3OUTSIDE,LONGLINE]",1.497660455793536,2
"M@[,ADXR20]P@[,CLOSINGMARUBOZU,3OUTSIDE,LONGLINE]O@[,CROSSOVER21]",-2.1231422505307855,1
"M@[,ADXR20]P@[,CLOSINGMARUBOZU,3OUTSIDE]",-0.6423541162534279,2
"M@[,ADXR20]P@[,CLOSINGMARUBOZU,EVENINGSTAR,EVENINGDOJISTAR]",-1.900065269417655,1
"M@[,ADXR20]P@[,CLOSINGMARUBOZU,LONGLINE]",-0.516600542452847,6
"M@[,ADXR20]P@[,CLOSINGMARUBOZU]",0.3425119360031858,7
"M@[,ADXR20]P@[,COUNTERATTACK]",-0.09589041095891035,1
"M@[,ADXR20]P@[,DARKCLOUDCOVER,LONGLINE]",-0.8592990452544785,3
"M@[,ADXR20]P@[,DARKCLOUDCOVER]",-0.7433513524829106,3
"M@[,ADXR20]P@[,ENGULFING,3INSIDE]",-0.5517241379310345,1
"M@[,ADXR20]P@[,ENGULFING,CLOSINGMARUBOZU,LONGLINE]",0.853872706352579,1
"M@[,ADXR20]P@[,ENGULFING,HIKKAKE,HIKKAKEMOD]",-1.0338983050847432,1
"M@[,ADXR20]P@[,ENGULFING,HIKKAKE,SHORTLINE]",3.79891459582975,1
"M@[,ADXR20]P@[,ENGULFING,HIKKAKE]",1.4013975155279517,2
"M@[,ADXR20]P@[,ENGULFING,LONGLINE]",1.0083488781461294,10
"M@[,ADXR20]P@[,ENGULFING,SHORTLINE]",1.3256294108827589,10
"M@[,ADXR20]P@[,ENGULFING,SPINNINGTOP]",0.3097761102362355,2
"M@[,ADXR20]P@[,ENGULFING]",0.36327447885781966,33
"M@[,ADXR20]P@[,ENGULFING]O@[,CROSSOVER21]",0.584071290398803,2
"M@[,ADXR20]P@[,ENGULFING]O@[,CROSSOVER50]",-1.2944983818770228,1
"M@[,ADXR20]P@[,EVENINGSTAR,EVENINGDOJISTAR]",-0.07109004739336762,1
"M@[,ADXR20]P@[,EVENINGSTAR,LONGLINE]",-8.814420803782502,2
"M@[,ADXR20]P@[,EVENINGSTAR]",-0.3907776475185619,1
"M@[,ADXR20]P@[,HANGINGMAN,HIKKAKE,SHORTLINE]",0.004460104366438119,1
"M@[,ADXR20]P@[,HANGINGMAN,HIKKAKE]O@[,CROSSOVER21]",1.1811023622047243,1
"M@[,ADXR20]P@[,HANGINGMAN,SHORTLINE]",0.9289617486338735,1
"M@[,ADXR20]P@[,HANGINGMAN]",0.3989378710054221,2
"M@[,ADXR20]P@[,HARAMI,SHORTLINE]",-0.04047010914997135,7
"M@[,ADXR20]P@[,HARAMI,SPINNINGTOP,HIGHWAVE]",0.2503756328597073,2
"M@[,ADXR20]P@[,HARAMI,SPINNINGTOP,SHORTLINE]",-1.7775476539589454,2
"M@[,ADXR20]P@[,HARAMI,SPINNINGTOP]",-0.7992512530150129,3
"M@[,ADXR20]P@[,HARAMI]",-0.1137358187906681,18
"M@[,ADXR20]P@[,HIKKAKE,SHORTLINE]",-0.8039477990582098,2
"M@[,ADXR20]P@[,HIKKAKE,SHORTLINE]O@[,CROSSOVER50]",1.0714735913273665,1
"M@[,ADXR20]P@[,HIKKAKE]",1.2663635646176452,7
"M@[,ADXR20]P@[,LONGLINE]",-0.05540182534058751,62
"M@[,ADXR20]P@[,LONGLINE]O@[,CROSSOVER21]",-6.26666666666667,1
"M@[,ADXR20]P@[,LONGLINE]O@[,CROSSOVER50]",0.28887384179895703,2
"M@[,ADXR20]P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,LONGLINE]",-1.7342624078492246,7
"M@[,ADXR20]P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,LONGLINE]O@[,CROSSOVER50]",0.841825431989369,1
"M@[,ADXR20]P@[,MARUBOZU,BELTHOLD,ENGULFING,CLOSINGMARUBOZU,LONGLINE]",1.5925243485127698,1
"M@[,ADXR20]P@[,SHOOTINGSTAR,HIKKAKE]",0.5915178571428521,1
"M@[,ADXR20]P@[,SHORTLINE]",0.1137417429988599,87
"M@[,ADXR20]P@[,SHORTLINE]O@[,CROSSOVER21]",-1.5800865800865826,1
"M@[,ADXR20]P@[,SHORTLINE]O@[,CROSSOVER50]",0.6933267302216056,1
"M@[,ADXR20]P@[,SPINNINGTOP,3INSIDE]",1.4685314685314645,1
"M@[,ADXR20]P@[,SPINNINGTOP,3OUTSIDE,HIGHWAVE]",-3.5290086797624456,1
"M@[,ADXR20]P@[,SPINNINGTOP,3OUTSIDE,SHORTLINE]",-2.018444007909053,3
"M@[,ADXR20]P@[,SPINNINGTOP,3OUTSIDE]",-6.140350877192982,1
"M@[,ADXR20]P@[,SPINNINGTOP,HIGHWAVE,HIKKAKE]",-0.7224459952174148,2
"M@[,ADXR20]P@[,SPINNINGTOP,HIGHWAVE]",-0.22337774706490832,20
"M@[,ADXR20]P@[,SPINNINGTOP,SHORTLINE]",-0.19558682306579023,9
"M@[,ADXR20]P@[,SPINNINGTOP]",-0.24946058688280917,54
"M@[,ADXR20]P@[,SPINNINGTOP]O@[,CROSSOVER21]",-0.8802473644835881,3
"M@[,ADXR20]V@[,AD:OBV]",-0.07324817607605143,3
"M@[,ADXR40,APO]",-2.7471116816431294,1
"M@[,ADXR40,APO]P@[,LONGLINE]",0.22346368715084117,1
"M@[,ADXR40,AROON,CROSSOVER-MACD]P@[,3OUTSIDE]",0.0833333333333286,1
"M@[,ADXR40,AROON,CROSSOVER-MACD]P@[,BELTHOLD]",1.492187499999993,1
"M@[,ADXR40,AROON]",0.23850332423754086,3
"M@[,ADXR40,AROON]P@[,BELTHOLD,LONGLINE]",0.6194081211286836,1
"M@[,ADXR40,AROON]P@[,BELTHOLD]",-3.8183396008099475,1
"M@[,ADXR40,AROON]P@[,HIKKAKE,SHORTLINE]",-0.8380338436744634,1
"M@[,ADXR40,AROON]P@[,HIKKAKE]",-1.7369020501138854,1
"M@[,ADXR40,AROON]P@[,LONGLINE]",-1.261387526278895,1
"M@[,ADXR40,AROON]P@[,SPINNINGTOP,HIGHWAVE]",-1.871165644171786,1
"M@[,ADXR40,AROON]P@[,SPINNINGTOP]",-4.324261992619926,1
"M@[,ADXR40,CROSSOVER-MACD,RSI]P@[,BELTHOLD,ENGULFING,LONGLINE]",-1.3540135254337013,1
"M@[,ADXR40,CROSSOVER-MACD,RSI]P@[,SHORTLINE]",1.1382113821138258,1
"M@[,ADXR40,CROSSOVER-MACD,RSI]P@[,SPINNINGTOP]",0.8350340136054483,1
"M@[,ADXR40,CROSSOVER-MACD]",0.06783531072971054,12
"M@[,ADXR40,CROSSOVER-MACD]P@[,3OUTSIDE]",1.4913885188457383,3
"M@[,ADXR40,CROSSOVER-MACD]P@[,BELTHOLD,3OUTSIDE]",-2.20689655172413,1
"M@[,ADXR40,CROSSOVER-MACD]P@[,BELTHOLD,ENGULFING]",1.0000000000000024,1
"M@[,ADXR40,CROSSOVER-MACD]P@[,BELTHOLD,LONGLINE]",2.0696338362466604,3
"M@[,ADXR40,CROSSOVER-MACD]P@[,ENGULFING,LONGLINE]",0.9184845005740658,1
"M@[,ADXR40,CROSSOVER-MACD]P@[,LONGLINE]",-2.205847014759224,3
"M@[,ADXR40,CROSSOVER-MACD]P@[,SHOOTINGSTAR,SHORTLINE]",-3.561643835616431,1
"M@[,ADXR40,CROSSOVER-MACD]P@[,SHORTLINE]",-0.6427915518824635,1
"M@[,ADXR40,CROSSOVER-MACD]P@[,SPINNINGTOP,HIGHWAVE]",1.1343338550778082,1
"M@[,ADXR40,CROSSOVER-MACD]P@[,SPINNINGTOP]",-1.8713133093769159,1
