Scrip, Date, Sentiment, Comment
MRF,2022-05-10,NA,NA
NEULANDLAB,2022-05-10,NA,NA
PASARI,2022-05-10,NA,NA
POLYCAB,2022-05-10,NA,NA
STL,2022-05-10,NA,NA
TAJGVK,2022-05-10,NA,NA
TDPOWERSYS,2022-05-10,NA,NA
TOKYOPLAST,2022-05-10,NA,NA
TTIENT,2022-05-10,NA,NA
VENKYS,2022-05-10,NA,NA
ZENSARTECH,2022-05-10,NA,NA
CHOLAHLDNG,2022-05-11,NA,NA
JAMSHRI,2022-05-11,NA,NA
KENNAMET,2022-05-11,NA,NA
KKCL,2022-05-11,NA,NA
KSB,2022-05-11,NA,NA
LAXMIMACH,2022-05-11,NA,NA
PETRONET,2022-05-11,NA,NA
PRSMJOHNSN,2022-05-11,NA,NA
RADIXIND,2022-05-11,NA,NA
SHRINIWAS,2022-05-11,NA,NA
SMARTLINK,2022-05-11,NA,NA
SMIFS,2022-05-11,NA,NA
TIGERLOGS,2022-05-11,NA,NA
TRISHAKT,2022-05-11,NA,NA
ABCAPITAL,2022-05-12,NA,NA
AVANTI,2022-05-12,NA,NA
BABA,2022-05-12,NA,NA
FOSECOIND,2022-05-12,NA,NA
ICRA,2022-05-12,NA,NA
LT,2022-05-12,NA,NA
MENONBE,2022-05-12,NA,NA
MINDSPACE,2022-05-12,NA,NA
NITINSPIN,2022-05-12,NA,NA
NUTRICIRCLE,2022-05-12,NA,NA
POONAWALLA,2022-05-12,NA,NA
PTL,2022-05-12,NA,NA
SABOOBR,2022-05-12,NA,NA
SKYLMILAR,2022-05-12,NA,NA
SOUTHBANK,2022-05-12,NA,NA
TATAMOTORS,2022-05-12,NA,NA
TVTODAY,2022-05-12,NA,NA
ALKEM,2022-05-13,NA,NA
BSL,2022-05-13,NA,NA
CARBORUNIV,2022-05-13,NA,NA
COROENGG,2022-05-13,NA,NA
EMAMILTD,2022-05-13,NA,NA
ESCORTS,2022-05-13,NA,NA
ISFL,2022-05-13,NA,NA
SSWL,2022-05-13,NA,NA
TECHM,2022-05-13,NA,NA
YASTF,2022-05-13,NA,NA
GANGOTRI,2022-05-14,NA,NA
ICL,2022-05-15,NA,NA
MPFSL,2022-05-16,NA,NA
RANEENGINE,2022-05-16,NA,NA
VINYLINDIA,2022-05-16,NA,NA
EKI,2022-05-17,NA,NA
INDOCO,2022-05-17,NA,NA
MUKANDENGG,2022-05-17,NA,NA
AURIONPRO,2022-05-18,NA,NA
GICHSGFIN,2022-05-18,NA,NA
GPPL,2022-05-18,NA,NA
NDTV,2022-05-18,NA,NA
PIDILITIND,2022-05-18,NA,NA
RAMCOIND,2022-05-18,NA,NA
RBL,2022-05-18,NA,NA
ROUTE,2022-05-18,NA,NA
SANDHAR,2022-05-18,NA,NA
WESTLIFE,2022-05-18,NA,NA
ASHOKLEY,2022-05-19,NA,NA
BOSCHLTD,2022-05-19,NA,NA
CONCOR,2022-05-19,NA,NA
DRREDDY,2022-05-19,NA,NA
GLAND,2022-05-19,NA,NA
GODREJCP,2022-05-19,NA,NA
MORARJEE,2022-05-19,NA,NA
NOVARTIND,2022-05-19,NA,NA
RAMCOSYS,2022-05-19,NA,NA
SURYODAY,2022-05-19,NA,NA
AMARAJABAT,2022-05-20,NA,NA
IDFC,2022-05-20,NA,NA
MINDTECK,2022-05-20,NA,NA
NUVOCO,2022-05-20,NA,NA
RML,2022-05-20,NA,NA
SMLISUZU,2022-05-20,NA,NA
SHREECEM,2022-05-21,NA,NA
PRICOLLTD,2022-05-23,NA,NA
RAMCOCEM,2022-05-23,NA,NA
UGROCAP,2022-05-24,NA,NA
APOLLOHOSP,2022-05-25,NA,NA
BLCISER,2022-05-25,NA,NA
BOMBWIR,2022-05-25,NA,NA
HEG,2022-05-25,NA,NA
JMDVL,2022-05-25,NA,NA
MORGANITE,2022-05-25,NA,NA
PSITINFRA,2022-05-25,NA,NA
RAJPALAYAM,2022-05-25,NA,NA
SALGUTI,2022-05-25,NA,NA
EVERESTIND,2022-05-26,NA,NA
GREENCREST,2022-05-26,NA,NA
PRIMECAPM,2022-05-26,NA,NA
RANEHOLDIN,2022-05-26,NA,NA
TIMEX,2022-05-26,NA,NA
UNISH,2022-05-26,NA,NA
VBIND,2022-05-26,NA,NA
WARNER,2022-05-26,NA,NA
ADCINDIA,2022-05-27,NA,NA
AKZOINDIA,2022-05-27,NA,NA
ESABINDIA,2022-05-27,NA,NA
KILPEST,2022-05-27,NA,NA
NIRLON,2022-05-27,NA,NA
SONALAD,2022-05-27,NA,NA
SUNDRMBRAK,2022-05-27,NA,NA
TASTYBIT,2022-05-27,NA,NA
TCIEXP,2022-05-27,NA,NA
