buyIndia,avg,count
"M@[,CCI:BOP]P@[,ENGULFING,MORNINGSTAR,LONGLINE]",2.0769736559662255,1
"P@[,BELTHOLD,ENGULFING,HIKKAKE]",2.0762178680568164,1
"M@[,RSI]P@[,HAMMER,HIKKAKE]",2.0717829004960673,1
"M@[,ADXR20:BOP]P@[,HARAMI,SPINNINGTOP,SHORTLINE]",2.0556565515312446,1
"P@[,3OUTSIDE,LONGLINE]O@[,CROSSOVER21]",2.050326083222306,2
"M@[,APO:BOP]P@[,HARAMI,HARAMICROSS,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN,SHORTLINE]",2.0347564538718266,3
"M@[,ADXR20:BOP]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,HIKKAKE,RICKSHAWMAN]",2.0313553167601603,2
"P@[,LONGLINE]O@[,CROSSOVER21]V@[,AD:OBV]",2.0303567908535403,1
"M@[,APO,CCI:BOP]P@[,HARAMI,SPINNINGTOP]",2.0281690140844986,1
"P@[,HARAMI,SPINNINGTOP,HIGHWAVE,HIKKAKE]",2.0272108798725057,4
"P@[,PIERCING,HIKKAKE,LONGLINE]",2.0208895248466776,2
"M@[,APO,RSI:BOP]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN]",2.008520998174061,1
"M@[,CCI:BOP]P@[,SPINNINGTOP,3OUTSIDE,SHORTLINE]",1.9555555555555624,1
"P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,3INSIDE,HIGHWAVE,RICKSHAWMAN,UNIQUE3RIVER]",1.9170085200378815,1
"M@[,CCI:BOP]P@[,BELTHOLD,SEPARATINGLINES]",1.9063848072458502,7
"P@[,HARAMI,SPINNINGTOP,HIKKAKE,SHORTLINE]",1.8975623525793552,2
"P@[,CLOSINGMARUBOZU,3OUTSIDE]O@[,CROSSOVER21]",1.8825015792798456,1
"M@[,APO:BOP]P@[,ENGULFING,CLOSINGMARUBOZU]",1.86412743259794,2
"M@[,CCI:BOP]P@[,HIKKAKE,SHORTLINE]",1.8635724331926906,1
"P@[,SPINNINGTOP,3INSIDE,UNIQUE3RIVER]",1.8414527950319304,2
"P@[,HARAMI,SHORTLINE]O@[,CROSSOVER21]",1.8222222620209034,3
"M@[,ADXR20,RSI:BOP]P@[,LONGLINE]",1.820003339455665,1
"M@[,ADXR20:BOP]P@[,3INSIDE]",1.819028127124886,2
"P@[,HAMMER,DOJI,DRAGONFLYDOJI,LONGLEGGEDDOJI,HIKKAKE,MATCHINGLOW,TAKURI]",1.818849928128799,3
"P@[,HAMMER,ENGULFING,SHORTLINE]",1.802544027203467,2
"M@[,RSI]P@[,HAMMER,MATCHINGLOW]",1.8018018018018056,1
"M@[,CCI:BOP]P@[,SHORTLINE,UNIQUE3RIVER]",1.779230210602772,1
"M@[,AROON:BOP]P@[,ENGULFING,CLOSINGMARUBOZU,LONGLINE]",1.7720350715274618,1
"M@[,CCI:BOP]P@[,BELTHOLD,MORNINGSTAR,LONGLINE]",1.7683895919994483,7
"P@[,CLOSINGMARUBOZU,LONGLINE,MATHOLD,RISEFALL3METHODS]",1.7523557612828606,1
"P@[,HAMMER,SHORTLINE]",1.748998523321043,3
"M@[,AROON,CCI:BOP]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN,SHORTLINE]",1.7403411068569439,1
"M@[,RSI,CCI:BOP]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN,SHORTLINE,UNIQUE3RIVER]",1.7334130304841464,1
"P@[,CLOSINGMARUBOZU,3INSIDE]O@[,CROSSOVER21]",1.7309023771059313,1
"M@[,ADXR40:BOP]P@[,ENGULFING,LONGLINE]",1.7073811400052534,1
"P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,PIERCING,HIKKAKE,LONGLINE]",1.6724127318903799,2
"M@[,CCI:BOP]P@[,HARAMI,HARAMICROSS,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,SPINNINGTOP,RICKSHAWMAN,SHORTLINE]",1.6720769277883234,1
"P@[,HAMMER,HARAMI,HARAMICROSS,DOJI,DRAGONFLYDOJI,LONGLEGGEDDOJI,HOMINGPIGEON,TAKURI]",1.6681901279707392,1
"P@[,DOJI,DRAGONFLYDOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN,SHORTLINE,TAKURI]",1.661504461813287,4
"M@[,RSI:BOP]P@[,SPINNINGTOP,HIGHWAVE]",1.6581874044687783,4
"M@[,RSI:BOP]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,RICKSHAWMAN,SHORTLINE]",1.6520537272176847,2
"M@[,AROON:BOP]P@[,3INSIDE,SHORTLINE]",1.6165292795203963,1
"M@[,RSI]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN,UNIQUE3RIVER]",1.6157535975763637,1
"P@[,CLOSINGMARUBOZU,MORNINGSTAR,LONGLINE]",1.6146538573562392,4
"P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN,SHORTLINE]O@[,CROSSOVER21]",1.5850812685736897,2
"P@[,3INSIDE,LONGLINE]V@[,AD:OBV]",1.575508788159112,1
"P@[,DOJI,DOJISTAR,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN]V@[,AD]",1.5671641791044733,1
"P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,LONGLINE]V@[,AD:OBV]",1.5439617260174814,3
"P@[,HARAMI,HARAMICROSS,DOJI,LONGLEGGEDDOJI,SHORTLINE]",1.5387593148166159,1
"P@[,3INSIDE]O@[,CROSSOVER21]",1.5357593706222976,2
"P@[,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,UNIQUE3RIVER]",1.5266806773437644,1
"M@[,APO:BOP]P@[,BELTHOLD,3OUTSIDE,LONGLINE]",1.5120683232048342,5
"P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,RICKSHAWMAN]O@[,CROSSOVER21]",1.5102356779042174,2
"P@[,ENGULFING,MORNINGSTAR,LONGLINE]",1.5079122573732484,3
"P@[,HAMMER,DOJI,DRAGONFLYDOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,TAKURI]",1.505008081771833,2
"M@[,APO:BOP]P@[,ENGULFING,SPINNINGTOP,SHORTLINE]",1.4871711063899369,1
"M@[,CCI,RSI:BOP]P@[,BELTHOLD]",1.476453735068277,4
"P@[,DOJI,DOJISTAR,GRAVESTONEDOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN]",1.471618780658714,1
"M@[,ADXR20:BOP]P@[,ENGULFING,LONGLINE]",1.458981104998796,1
"M@[,AROON:BOP]P@[,BELTHOLD,ENGULFING,MORNINGSTAR,LONGLINE]",1.4547754585705321,1
"P@[,BELTHOLD,ENGULFING]O@[,CROSSOVER21]",1.4507095597312256,2
"P@[,SPINNINGTOP,SHORTLINE,UNIQUE3RIVER]",1.4331561248930482,4
"M@[,AROON,CCI:BOP]P@[,BELTHOLD,LONGLINE]",1.42955295910621,5
"M@[,AROON:BOP]P@[,BELTHOLD,LONGLINE,SEPARATINGLINES]",1.4050677795143895,7
"M@[,APO:BOP]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN,SHORTLINE]",1.3945873724819244,4
"M@[,APO:BOP]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,RICKSHAWMAN]",1.3939389419237023,3
"M@[,RSI]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN,SHORTLINE]",1.386731023923129,2
"M@[,APO,AROON:BOP]P@[,HARAMI,HARAMICROSS,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN]",1.381081785355318,1
"M@[,AROON:BOP]P@[,CLOSINGMARUBOZU,3OUTSIDE,LONGLINE]",1.3799448022079117,1
"P@[,BELTHOLD]O@[,CROSSOVER50]",1.3778141192472133,10
"M@[,CCI:BOP]P@[,BELTHOLD,3INSIDE,LONGLINE]V@[,AD:OBV]",1.3733485049623813,1
"M@[,CCI:BOP]P@[,HARAMI,HARAMICROSS,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,RICKSHAWMAN]",1.3690476190476257,1
"M@[,ADXR20,CCI:BOP]P@[,SPINNINGTOP,SHORTLINE]",1.3275027330938625,1
"M@[,CCI:BOP]P@[,CDLINVERTEDHAMMER,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,SPINNINGTOP,RICKSHAWMAN]",1.3245033112582854,1
"M@[,CCI:BOP]P@[,BELTHOLD,ENGULFING,MORNINGSTAR,MORNINGDOJISTAR]",1.3226966930756776,2
"M@[,CCI:BOP]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN,SHORTLINE]",1.316440707186484,17
"M@[,APO,CCI:BOP]P@[,SPINNINGTOP]",1.3080444735120993,1
"M@[,ADXR40:BOP]P@[,SPINNINGTOP,SHORTLINE]",1.3066680099309924,2
"M@[,AROON:BOP]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE]",1.3043480610777263,2
"M@[,CCI:BOP]P@[,UNIQUE3RIVER]",1.2992413013189597,3
"M@[,AROON,CCI:BOP]P@[,SHORTLINE]V@[,AD:OBV]",1.2813667912439815,1
"M@[,CCI,RSI:BOP]P@[,SPINNINGTOP,SHORTLINE]",1.2687427912341231,1
"M@[,AROON:BOP]P@[,BELTHOLD,LONGLINE,SEPARATINGLINES]V@[,AD:OBV]",1.240768094534707,1
"P@[,CDLINVERTEDHAMMER,DOJI,DOJISTAR,GRAVESTONEDOJI,LONGLEGGEDDOJI,SPINNINGTOP,RICKSHAWMAN]",1.2263086433627408,2
"M@[,CCI:BOP]P@[,HARAMI,SPINNINGTOP]",1.2217269987179191,10
"M@[,AROON:BOP]P@[,3INSIDE,LONGLINE]",1.219541599026779,4
"P@[,BELTHOLD,3INSIDE,LONGLINE,SEPARATINGLINES]",1.216085271317825,1
"M@[,CCI:BOP]P@[,MORNINGSTAR,MORNINGDOJISTAR,LONGLINE]",1.2122693741478499,6
"P@[,CLOSINGMARUBOZU]O@[,CROSSOVER21]",1.2078867042462484,2
"P@[,SPINNINGTOP,3OUTSIDE,SHORTLINE]",1.1979129105247437,5
"P@[,BELTHOLD,PIERCING,LONGLINE]O@[,CROSSOVER21]",1.1721680420105025,1
"M@[,ADXR40:BOP]P@[,BELTHOLD,LONGLINE]",1.1682422489826594,3
"P@[,ENGULFING,SPINNINGTOP,HIKKAKE]",1.160968334666248,2
