sellIndia,avg,count
"P@[,LONGLINE]V@[,AD:OBV]",-1.12562920286812,6
"M@[,CROSSOVER-MACD,RSI]P@[,BELTHOLD,ENGULFING,LONGLINE]",-1.101130107215303,1
"M@[,ADXR40,RSI]P@[,SHORTLINE]",-1.0958101377087632,1
"M@[,APO]P@[,BELTHOLD,3INSIDE,LONGLINE]",-1.0851871947911014,1
"P@[,CLOSINGMARUBOZU,3INSIDE,LONGLINE]",-1.0774189756402706,2
"M@[,APO]P@[,HARAMI,SPINNINGTOP,SHORTLINE]",-1.0697032436162819,1
"P@[,3OUTSIDE,SHORTLINE]O@[,CROSSOVER21]",-1.0645392183927362,4
"M@[,AROON]P@[,ENGULFING,CLOSINGMARUBOZU,EVENINGSTAR,EVENINGDOJISTAR,LONGLINE]",-1.0617503546969345,1
"P@[,ENGULFING,SHORTLINE]V@[,AD:OBV]",-1.0584545616286387,2
"M@[,CROSSOVER-MACD]P@[,SPINNINGTOP,HIGHWAVE,HIKKAKE]",-1.047297297297292,1
"P@[,MARUBOZU,BELTHOLD,ENGULFING,CLOSINGMARUBOZU,HIKKAKE,LONGLINE]",-1.0468825571597749,5
"P@[,HARAMI,SPINNINGTOP,HIGHWAVE]",-1.0367094167860402,26
"M@[,AROON]P@[,HARAMI,SPINNINGTOP,HIGHWAVE]",-1.0355029585798743,1
"P@[,BELTHOLD,ENGULFING,EVENINGSTAR,EVENINGDOJISTAR,LONGLINE]",-1.0345578494774477,11
"M@[,CROSSOVER-MACD]P@[,ENGULFING,SHORTLINE]O@[,CROSSOVER50]",-1.022392272470674,1
"M@[,ADXR20,CROSSOVER-MACD]P@[,SPINNINGTOP]",-1.0174418604651163,1
"M@[,RSI]P@[,ENGULFING,LONGLINE]",-1.0073452822781503,18
"M@[,CROSSOVER-MACD]P@[,BELTHOLD,LONGLINE,RISEFALL3METHODS,SEPARATINGLINES]",-0.9967672413793073,1
"M@[,CROSSOVER-MACD]P@[,SPINNINGTOP]O@[,CROSSOVER50]",-0.9910075243163843,1
"M@[,APO]P@[,BELTHOLD,LONGLINE]O@[,CROSSOVER50]",-0.9841874017910257,2
"M@[,RSI]P@[,SHORTLINE]V@[,AD:OBV]",-0.9816474605207048,1
"M@[,APO,CROSSOVER-MACD]P@[,CLOSINGMARUBOZU,LONGLINE]",-0.9759876065065769,1
"M@[,CROSSOVER-MACD]P@[,BELTHOLD,DARKCLOUDCOVER,LONGLINE]",-0.9677978938867061,3
"M@[,CROSSOVER-MACD]P@[,CLOSINGMARUBOZU,3OUTSIDE,LONGLINE]",-0.9625843511877338,4
