,-0.09145928671215929,176898
"M@[,ADXR20:BOP]P@[,BELTHOLD]O@[,CROSSOVER50]",-2.2482769853986175,4
"M@[,ADXR20:BOP]P@[,BELTHOLD]V@[,AD:OBV]",0.5645896632863587,2
"M@[,ADXR20:BOP]P@[,CDLINVERTEDHAMMER,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,HIKKAKE]",-0.23776127618366946,1
"M@[,ADXR20:BOP]P@[,CDLINVERTEDHAMMER,SHORTLINE,UNIQUE3RIVER]",-1.4853996778056517,1
"M@[,ADXR20:BOP]P@[,CDLINVERTEDHAMMER,SHORTLINE]",-0.2804026543780643,1
"M@[,ADXR20:BOP]P@[,CDLINVERTEDHAMMER]",0.6673038568276489,5
"M@[,ADXR20:BOP]P@[,CLOSINGMARUBOZU,LONGLINE]",0.8987245895766585,5
"M@[,ADXR20:BOP]P@[,CLOSINGMARUBOZU,LONGLINE]O@[,CROSSOVER21]",-0.00504089102056092,2
"M@[,ADXR20:BOP]P@[,CLOSINGMARUBOZU]",0.4252251955923021,3
"M@[,ADXR20:BOP]P@[,COUNTERATTACK]",-0.62194561305963,2
"M@[,ADXR20:BOP]P@[,DOJI,DOJISTAR,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,HIKKAKE,RICKSHAWMAN]",0.7642318212177467,1
"M@[,ADXR20:BOP]P@[,DOJI,DOJISTAR,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN]",-1.2981127037341347,5
"M@[,ADXR20:BOP]P@[,DOJI,DOJISTAR,LONGLEGGEDDOJI,SPINNINGTOP,RICKSHAWMAN]",-0.915415578223169,1
"M@[,ADXR20:BOP]P@[,DOJI,DRAGONFLYDOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,TAKURI]",4.257666233168542,1
"M@[,ADXR20:BOP]P@[,DOJI,DRAGONFLYDOJI,LONGLEGGEDDOJI,SPINNINGTOP,RICKSHAWMAN,TAKURI]",1.5424806767435435,2
"M@[,ADXR20:BOP]P@[,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,SHORTLINE]",14.293130413369827,2
"M@[,ADXR20:BOP]P@[,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN]",0.1446530401795841,1
"M@[,ADXR20:BOP]P@[,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE]",-1.271603431230714,1
"M@[,ADXR20:BOP]P@[,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,SPINNINGTOP,RICKSHAWMAN,SHORTLINE]",2.1666689272279984,1
"M@[,ADXR20:BOP]P@[,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI]",-0.9288641051674101,1
"M@[,ADXR20:BOP]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,HIKKAKE,RICKSHAWMAN]",1.3364262673094183,3
