buyIndia,avg,count
"M@[,ADXR20,CCI:BOP]P@[,SHORTLINE]",-1.9519745076635915,2
"M@[,ADXR20:BOP]P@[,BELTHOLD,ENGULFING,LONGLINE]O@[,CROSSOVER21,CROSSOVER50]",-1.9362409544298913,1
"P@[,ENGULFING,3INSIDE,LONGLINE]V@[,AD:OBV]",-1.917322834645662,1
"P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,RICKSHAWMAN,SHORTLINE]O@[,CROSSOVER21]",-1.909814323607424,1
"P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,3INSIDE,LONGLINE]",-1.9070283537533985,5
"M@[,CCI:BOP]P@[,HARAMI,HARAMICROSS,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,SPINNINGTOP,RICKSHAWMAN]",-1.8908227848101338,1
"M@[,APO:BOP]P@[,ENGULFING]O@[,CROSSOVER21]",-1.882352941176464,1
"M@[,AROON:BOP]P@[,BELTHOLD,LONGLINE]O@[,CROSSOVER21]",-1.881318329886452,2
"M@[,CCI:BOP]P@[,ENGULFING,CLOSINGMARUBOZU]",-1.876172607879925,1
"M@[,RSI:BOP]P@[,CDLINVERTEDHAMMER,DOJI,DOJISTAR,GRAVESTONEDOJI,LONGLEGGEDDOJI]",-1.868890166762507,1
"M@[,RSI]P@[,DOJI,DOJISTAR,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN]",-1.8445451239336261,2
"M@[,RSI:BOP]P@[,HAMMER,DOJI,DRAGONFLYDOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN,SHORTLINE,TAKURI]",-1.8336964415395625,1
"M@[,RSI:BOP]P@[,ENGULFING,MORNINGSTAR]",-1.823607427055703,1
"P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,TRISTAR,RICKSHAWMAN,SHORTLINE]",-1.8223637650389164,1
"M@[,RSI:BOP]P@[,SPINNINGTOP,HIGHWAVE,SHORTLINE]",-1.8177892918825524,1
"P@[,CLOSINGMARUBOZU,MORNINGSTAR]",-1.8150317630558535,1
"P@[,HARAMI,HOMINGPIGEON]O@[,CROSSOVER21]",-1.8118954023586045,2
"M@[,AROON,CCI:BOP]P@[,ENGULFING,MORNINGSTAR]",-1.7921161389918538,2
"M@[,ADXR20:BOP]P@[,DOJI,DOJISTAR,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE]",-1.788265424835304,2
"M@[,ADXR20:BOP]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP]",-1.7857142857142794,1
"M@[,CCI:BOP]P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,LONGLINE,SEPARATINGLINES]V@[,AD:OBV]",-1.7831761209458528,1
"P@[,HAMMER,HIKKAKE]V@[,AD]",-1.7812704649639848,1
"M@[,CCI:BOP]P@[,SPINNINGTOP,3OUTSIDE,HIGHWAVE]",-1.7784552845528454,1
"M@[,RSI:BOP]P@[,BELTHOLD,LONGLINE,SEPARATINGLINES]",-1.7749171055197945,1
"M@[,RSI,CCI:BOP]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE]",-1.7518939393939341,1
"M@[,AROON,CCI:BOP]P@[,HARAMI,SHORTLINE]",-1.7450271247739562,1
"M@[,ADXR40:BOP]P@[,HARAMI,HARAMICROSS,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN]",-1.7366871790666136,2
"M@[,ADXR20:BOP]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,HIKKAKE,RICKSHAWMAN]",-1.7356345156745439,4
"M@[,ADXR20,RSI:BOP]P@[,CLOSINGMARUBOZU]",-1.7340339531123725,1
"M@[,ADXR20,AROON:BOP]P@[,3OUTSIDE]",-1.7301038062283738,1
"P@[,HAMMER,DOJI,DRAGONFLYDOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,HIKKAKE,RICKSHAWMAN,TAKURI]",-1.7271254791913992,2
"M@[,ADXR40,CCI:BOP]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN]",-1.7124091015716658,1
"M@[,CCI:BOP]P@[,DOJI,DRAGONFLYDOJI,LONGLEGGEDDOJI,SPINNINGTOP,RICKSHAWMAN,TAKURI]",-1.7058377558756634,1
"M@[,RSI,CCI:BOP]P@[,CLOSINGMARUBOZU,LONGLINE]",-1.7012227538543268,1
"M@[,RSI,CCI:BOP]P@[,CDLINVERTEDHAMMER,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN]",-1.698113207547167,1
"M@[,RSI]P@[,HARAMI,HARAMICROSS,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,HOMINGPIGEON,MATCHINGLOW]",-1.676829268292683,1
"M@[,RSI:BOP]P@[,SPINNINGTOP,3OUTSIDE]",-1.6717317532470481,3
"M@[,CCI:BOP]P@[,HARAMI,SPINNINGTOP,HIKKAKE]",-1.6666666666666698,1
"M@[,ADXR20,APO:BOP]P@[,HARAMI]",-1.6627078384798166,1
"M@[,CCI:BOP]P@[,CLOSINGMARUBOZU,3INSIDE,LONGLINE]",-1.6500813084723713,6
"P@[,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,3OUTSIDE]",-1.6321016164322717,3
"M@[,CCI:BOP]P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,LONGLINE,SEPARATINGLINES]",-1.6296161619594765,2
"M@[,CCI:BOP]P@[,ENGULFING,SPINNINGTOP,HIGHWAVE]",-1.6206030150753739,1
"M@[,ADXR20:BOP]P@[,BELTHOLD,3OUTSIDE]",-1.613264067950857,2
"M@[,AROON:BOP]P@[,BELTHOLD,ENGULFING,MORNINGSTAR,MORNINGDOJISTAR,LONGLINE]",-1.6088955149707953,1
"M@[,APO:BOP]P@[,SPINNINGTOP,3OUTSIDE,HIGHWAVE]",-1.6020160201601976,1
"P@[,CLOSINGMARUBOZU,COUNTERATTACK]",-1.5934065934065933,1
"M@[,AROON:BOP]P@[,LONGLINE]O@[,CROSSOVER21]",-1.5834316348092068,5
"M@[,APO,CCI:BOP]P@[,BELTHOLD]",-1.5791081237779345,2
"P@[,HARAMI,SPINNINGTOP,HIGHWAVE]V@[,AD:OBV]",-1.5749235474006047,1
"P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,LONGLINE,SEPARATINGLINES]O@[,CROSSOVER50]",-1.5714285714285716,1
"M@[,AROON:BOP]P@[,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,SPINNINGTOP]",-1.5471167369901468,1
"M@[,ADXR20:BOP]P@[,SPINNINGTOP,HIGHWAVE]O@[,CROSSOVER21]",-1.5451664025356553,1
"M@[,RSI:BOP]P@[,SPINNINGTOP,SHORTLINE]",-1.540765192394851,7
"M@[,ADXR40:BOP]P@[,HARAMI]",-1.5373451990696578,2
"M@[,ADXR40,AROON:BOP]P@[,BELTHOLD]",-1.5364238410596056,1
"P@[,ENGULFING,3INSIDE,UNIQUE3RIVER]",-1.527446300715985,1
"M@[,AROON:BOP]P@[,BELTHOLD,PIERCING]",-1.5186011904761973,2
